"Type","Buy","Cur.","Sell","Cur.","Exchange","Comment","Date"
"Trade","20.00000000","DIS","0.88200000","ETH","mm4 dis public ido","MM4 Claim TosDis IDO public on ido.tosdis.finance/buy 20 DIS for 0.882 ETH ; changed 'deposit' of dis ido tokens to 'trade'","2021-01-22"
"Trade","750.00000000","ETH","100.00000000","USD","","","2021-01-22"
"Income","91.00000000","XLM","","","Uphold","","2021-01-22"
"Deposit","800.00000000","BNT","","","Coinbase pro","","2021-01-22"
"Withdrawal","","","0.00000000","BTC","bisq","","2021-01-21"
"Trade","0.00000000","BTC","0.00000000","BTC","Kraken","","2021-01-21"
"Trade","100.00000000","CELO","230.00000000","CAD","","","2021-01-21"
"Trade","341.14000000","EUR","0.01291293","BTC","Bison","","2021-01-21"
"Deposit","1.00000000","ETH","","","","","2021-01-21"
"Withdrawal","","","13.99100000","VALUE","Gate.io","","2021-01-21"
"Deposit","0.88200000","ETH","","","mm4 dis public ido","MM4: TosDis IDO public on ido.tosdis.finance/buy 20 DIS for 0.882 ETH","2021-01-20"
"Withdrawal","","","303.75000000","USDT","MindCapital","traspaso saldo a exchange","2021-01-20"
"Airdrop","3.00000000","GPH","","","Coinbase","Vídeo lección 1","2021-01-20"
"Deposit","2000.00000000","EUR","","","Binance","","2021-01-19"
